project_name,tax_id,commodity,location,region,concession_size,value,value_type,value_unit,year,lat,long
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,5962066.0,Royalties,GHS,2006,6.1973888,-1.6870297
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,6286906.0,Royalties,GHS,2007,6.1973888,-1.6870297
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,8710130.0,Royalties,GHS,2008,6.1973888,-1.6870297
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,14100164.0,Royalties,GHS,2009,6.1973888,-1.6870297
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,17360307.0,Royalties,GHS,2010,6.1973888,-1.6870297
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,19665202.0,Royalties,GHS,2011,6.1973888,-1.6870297
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,25303243.0,Royalties,GHS,2012,6.1973888,-1.6870297
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,22421988.0,Royalties,GHS,2013,6.1973888,-1.6870297
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,,Corporate income tax,GHS,2006,6.1973888,-1.6870297
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,         ,Corporate income tax,GHS,2007,6.1973888,-1.6870297
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,            ,Corporate income tax,GHS,2008,6.1973888,-1.6870297
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,,Corporate income tax,GHS,2009,6.1973888,-1.6870297
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,,Corporate income tax,GHS,2010,6.1973888,-1.6870297
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,,Corporate income tax,GHS,2011,6.1973888,-1.6870297
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,,Corporate income tax,GHS,2012,6.1973888,-1.6870297
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,,Corporate income tax,GHS,2013,6.1973888,-1.6870297
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,,Ground rent,GHS,2006,6.1973888,-1.6870297
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,,Ground rent,GHS,2007,6.1973888,-1.6870297
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,,Ground rent,GHS,2008,6.1973888,-1.6870297
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,,Ground rent,GHS,2009,6.1973888,-1.6870297
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,,Ground rent,GHS,2010,6.1973888,-1.6870297
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,,Ground rent,GHS,2011,6.1973888,-1.6870297
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,,Ground rent,GHS,2012,6.1973888,-1.6870297
