name,tax_id,commodity,location,region,concession_size,value,value_type,value_unit,year,lat,long
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,6367302.0,revenue,GHS,2006,6.1973888,-1.6870297
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,6706447.0,revenue,GHS,2007,6.1973888,-1.6870297
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,9129690.0,revenue,GHS,2008,6.1973888,-1.6870297
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,14519724.0,revenue,GHS,2009,6.1973888,-1.6870297
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,17784907.0,revenue,GHS,2010,6.1973888,-1.6870297
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,20089802.0,revenue,GHS,2011,6.1973888,-1.6870297
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,25733496.0,revenue,GHS,2012,6.1973888,-1.6870297
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,23982926.0,revenue,GHS,2013,6.1973888,-1.6870297
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,3918017.0,revenue,GHS,2006,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,4095838.0,revenue,GHS,2007,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,4986192.0,revenue,GHS,2008,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,11826469.0,revenue,GHS,2009,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,17693132.0,revenue,GHS,2010,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,70486422.0,revenue,GHS,2011,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,31437445.0,revenue,GHS,2012,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,22679409.0,revenue,GHS,2013,5.2526101,-2.0490137
