name,tax_id,commodity,location,region,concession_size,value,value_type,value_unit,year,lat,long
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,387093,production,oz,2006,6.1973888,-1.6870297
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,359962,production,oz,2007,6.1973888,-1.6870297
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,258709,production,oz,2008,6.1973888,-1.6870297
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,381720,production,oz,2009,6.1973888,-1.6870297
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,380490,production,oz,2010,6.1973888,-1.6870297
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,312595,production,oz,2011,6.1973888,-1.6870297
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,312595,production,oz,2012,6.1973888,-1.6870297
AngloGold Ashanti (Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,239032,production,oz,2013,6.1973888,-1.6870297
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31,183534,production,oz,2006,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31,185505,production,oz,2007,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31,157702,production,oz,2008,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31,192536,production,oz,2009,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31,190442,production,oz,2010,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31,195650,production,oz,2011,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31,195650,production,oz,2012,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31,212465.27,production,oz,2013,5.2526101,-2.0490137
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,42213,production,oz,2006,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,23918,production,oz,2007,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,24722,production,oz,2008,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,,production,oz,2009,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,,production,oz,2010,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,,production,oz,2011,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,,production,oz,2012,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,,production,oz,2013,6.452944,-2.3149591
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,,production,oz,2006,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,,production,oz,2007,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,,production,oz,2008,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,,production,oz,2009,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,,production,oz,2010,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,90026,production,oz,2011,4.95613,-1.74714
